Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Швачка;Геннадій;Мартинович;Чоловіча;1996-02-18;Хімік;село Болехів;набережна Ананьївська, буд. 55 кв. 945, Немирів, 80036;265 17 86;nadiia81@example.net
Масляк;Михайло;Олегович;Чоловіча;2002-09-25;Різноробочий;село Здолбунів;проспект Бородінська, буд. 74, Старокостянтинів, 17311;446-60-28;pakulenko@example.org
Юрчук;Петро;Августинович;Чоловіча;1977-09-23;Паблік рилейшнз;місто Інкерман;сквер Лізи Чайкіної, буд. 875 кв. 72, Тисмениця, 63030;+380 50 721-03-94;lzhuk@example.org
Корж;Геннадій;Пантелеймонович;Чоловіча;1953-02-14;Літературознавець;селище Путивль;набережна Дачний, буд. 8, Яготин, 06344;+380 33 744-85-30;lesbandera@example.net
Гавриш;Тарас;Леонтійович;Чоловіча;1971-07-14;Гінеколог;село Першотравенськ;площа Бреуса, буд. 93, Олександрія, 92136;239 13 58;ielysavetamalyshko@example.org
Гайдамака;Ярема;Антонович;Чоловіча;1980-04-08;Бібліограф;хутір Городище ;провулок Пiвденний, буд. 02 кв. 33, Ізюм, 24578;+380 92 287 65 31;iaroslavaskyba@example.net
Гаврюшенко;Клавдія;Валентинаівна;Жіноча;1952-06-06;Співак;хутір Вовчанськ;узвіз Нерубайська, буд. 6, Сорокине, 95278;+380 55 773-47-23;shcherbanhryhorii@example.org
Давиденко;Руслан;Степанович;Чоловіча;1982-05-05;Мовознавець;хутір Іллінці;шосе Богдана Хмельницького, буд. 18, Ровеньки, 68100;+380 53 245 40 72;leopold06@example.org
Примаченко;Тетяна;Оринаівна;Жіноча;1990-01-14;Різноробочий;хутір Торецьк;площа Державіна, буд. 187, Олександрія, 45490;+380 64 061 06 15;edyta90@example.com
Гриценко;Ігор;Георгійович;Чоловіча;1945-06-21;Електрик;місто Старий Крим;проспект Шоста, буд. 277 кв. 372, Виноградів, 23206;047 584 03 76;artemenkooleksandr@example.org
Комар;Нестор;Владиславович;Чоловіча;1986-02-23;Провізор;хутір Бердянськ;вулиця Джерельна, буд. 13, Остер , 37956;+380 83 918-96-76;pkhomenko@example.com
Баран;Гордій;Устимович;Чоловіча;2006-07-27;Секретар;селище Бориспіль;шосе Одарія, буд. 184, Залізне, 02502;+380 44 953-91-86;xandriievych@example.com
Литвиненко;Азар;Зорянович;Чоловіча;1948-03-25;Дизайнер;хутір Миронівка;набережна Пересипська 2-га, буд. 05 кв. 955, Корюківка, 57890;075 912 10 94;hdeineko@example.net
Бабенко;Амвросій;Венедиктович;Чоловіча;1945-01-30;Музикознавець;хутір Трускавець;узвіз Ракетна, буд. 78 кв. 6, Гуляйполе, 64277;347-24-46;dazhazha@example.org
Шелест;Геннадій;Леонович;Чоловіча;1954-04-04;Художник;село Боково-Хрустальне;узвіз Олександра Кутузакія, буд. 007, Українськ, 97131;004 433-99-82;babarychenkozorian@example.org
Михайлюк;Аврелій;Парменович;Чоловіча;1954-03-22;Євнух;хутір Кобеляки;сквер Самарська, буд. 6 кв. 291, Олевськ, 88662;051 081 41 72;rozaliia78@example.org
Калениченко;Ігор;Хомаович;Чоловіча;1984-07-22;Кушнір;село Соледар;шосе Кладовищний, буд. 645, Бобровиця, 55576;457 49 67;sahalnestor@example.org
Заруба;Єва;Оксанаівна;Жіноча;1989-04-23;Електрослюсар;місто Новодружеськ;сквер Овідіопольська дуга, буд. 1, Синельникове, 18750;095 214 51 21;oleszabarnyi@example.com
Засядько;Давид;Глібович;Чоловіча;1992-07-09;Науковець;хутір Зимогір'я;сквер Олександра Невського 1-й, буд. 34 кв. 32, Соледар, 37038;004 445 28 91;artem87@example.net
Ґерета;Зиновій;Данилоович;Чоловіча;2000-07-21;Маркетолог;місто Першотравенськ;шосе Привокзальна, буд. 94 кв. 521, Теребовля, 64291;041 276-84-76;jkopytko@example.net
Гайдабура;Альбіна;Іринаівна;Жіноча;1967-10-27;Стиліст;село Синельникове;площа Травневий 4-й, буд. 8, Великі Мости, 27519;+380 48 161-40-83;oleksandravdieienko@example.net
Жарко;Дарина;Надіяівна;Жіноча;1992-04-23;Льотчик;хутір Золочів;узвіз Терещенка Володимира, буд. 52, Чернігів, 89181;008 728-46-08;piatachenkobohuslava@example.org
Козаченко;Мартин;Єфремович;Чоловіча;1979-05-14;Підприємець;селище Жидачів;узвіз Аеропортівський 3-й, буд. 97, Моршин, 13764;074 891 04 01;svitlana27@example.org
Іваничук;Олена;Анжелаівна;Жіноча;2001-08-21;Музичний редактор;хутір Червоносів;узвіз Окружна, буд. 1, Бахчисарай, 09197;125 67 40;hennadiidavydenko@example.net
Юрченко;Віолетта;Богданнаівна;Жіноча;1997-07-31;Публіцист;хутір Лисичанськ;проспект Привокзальна, буд. 82, Ніжин, 10438;+380 40 227-55-03;artymovychdemyd@example.org
Назаренко;Людмила;Еміліяівна;Жіноча;1954-08-03;Швачка;село Перевальськ;сквер Лодочний, буд. 86, Збараж, 29564;033 595-84-44;evivcharenko@example.com
Тичина;Розалія;Віраівна;Жіноча;1950-05-27;Локсмайстер;село Іловайськ;набережна Серединський, буд. 92 кв. 1, Краматорськ, 89509;+380 55 010-81-14;halyna30@example.org
Зінкевич;Зорян;Дмитроович;Чоловіча;1981-07-28;Перекладач;хутір Павлоград;сквер Лазурний 4-й, буд. 032, Перещепине, 87043;+380 57 068-97-78;chmilmyroslav@example.org
Шамрай;Ярина;Ганнаівна;Жіноча;1971-04-30;Футболіст;село Тульчин;шосе Академіка Сахарова, буд. 063, Христинівка, 87405;+380 (99) 965-19-59;shyloorkhyp@example.org
Щербак;Назар;Ігнатович;Чоловіча;1952-11-18;Фармацевт;хутір Зимогір'я;набережна Чорноморський 3-й, буд. 9 кв. 8, Кропивницький, 68857;030 227-25-33;fsaienko@example.org
Верес;Віктор;Єфремович;Чоловіча;1986-01-26;Ді-джей;місто Фастів;узвіз Польський узвіз, буд. 280, Перемишляни, 89115;+380 65 810-38-08;covsiienko@example.com
Яценко;Святослав;Яківович;Чоловіча;1992-06-23;Письменник;хутір Жмеринка;узвіз Марії Демченко 2-й, буд. 714, Сєвєродонецьк, 32020;+380 83 058-01-68;ihaidabura@example.com
Цибуленко;Камілла;Віолеттаівна;Жіноча;1980-07-28;Промисловець;селище Першотравенськ;провулок Крушельницької, буд. 6, Берестечко, 90113;084 797 63 75;ihavriushenko@example.com
Пилипенко;Ганна;Даринаівна;Жіноча;1969-10-18;Громадський діяч;село Селидове;узвіз Штурвальна, буд. 261, Судова Вишня, 14141;027-96-45;ielysei89@example.com
Сіробаба;Оксенія;Анастасіяівна;Жіноча;1997-09-29;Менеджер;село Алушта;узвіз Прирейкова, буд. 600 кв. 80, Щолкіне, 13512;592 56 33;leontii75@example.org
Алексюк;Гліб;Адамович;Чоловіча;2006-05-25;Ґрунтознавець;хутір Кобеляки;узвіз Проектований 4-й, буд. 7, Конотоп, 51613;+380 09 124-62-22;tsavenko@example.com
Андрусенко;Пріска;Оксеніяівна;Жіноча;1969-08-18;Бібліотекар;село Чорноморськ;шосе Севастопольський, буд. 0 кв. 3, Рудки, 22736;020 826 12 35;akulenkoomelian@example.org
Гавриленко;Назар;Михайлоович;Чоловіча;1945-01-26;Бухгалтер;місто Житомир;парк Маковий, буд. 07, Біляївка, 22249;098 847 93 20;tfranko@example.org
Сірченко;Володимир;Сергійович;Чоловіча;1947-04-04;Мовознавець;хутір Теребовля;проспект Василя Симоненка, буд. 9, Збараж, 99486;+380 76 599 73 06;klahoda@example.org
Данькевич;Петро;Опанасович;Чоловіча;1962-04-10;Публіцист;селище Дергачі;проспект Іподромний, буд. 912, Токмак, 19807;084 210-53-50;arsentymchenko@example.net
